Date,Year,Month Number,Month,Quarter,Week,Day,Day Name
01-01-2015 00:00,2015,1,January,Q1,1,1,Thursday
02-01-2015 00:00,2015,1,January,Q1,1,2,Friday
03-01-2015 00:00,2015,1,January,Q1,1,3,Saturday
04-01-2015 00:00,2015,1,January,Q1,2,4,Sunday
05-01-2015 00:00,2015,1,January,Q1,2,5,Monday
06-01-2015 00:00,2015,1,January,Q1,2,6,Tuesday
07-01-2015 00:00,2015,1,January,Q1,2,7,Wednesday
08-01-2015 00:00,2015,1,January,Q1,2,8,Thursday
09-01-2015 00:00,2015,1,January,Q1,2,9,Friday
10-01-2015 00:00,2015,1,January,Q1,2,10,Saturday
11-01-2015 00:00,2015,1,January,Q1,3,11,Sunday
12-01-2015 00:00,2015,1,January,Q1,3,12,Monday
13-01-2015 00:00,2015,1,January,Q1,3,13,Tuesday
14-01-2015 00:00,2015,1,January,Q1,3,14,Wednesday
15-01-2015 00:00,2015,1,January,Q1,3,15,Thursday
16-01-2015 00:00,2015,1,January,Q1,3,16,Friday
17-01-2015 00:00,2015,1,January,Q1,3,17,Saturday
18-01-2015 00:00,2015,1,January,Q1,4,18,Sunday
19-01-2015 00:00,2015,1,January,Q1,4,19,Monday
20-01-2015 00:00,2015,1,January,Q1,4,20,Tuesday
21-01-2015 00:00,2015,1,January,Q1,4,21,Wednesday
22-01-2015 00:00,2015,1,January,Q1,4,22,Thursday
23-01-2015 00:00,2015,1,January,Q1,4,23,Friday
24-01-2015 00:00,2015,1,January,Q1,4,24,Saturday
25-01-2015 00:00,2015,1,January,Q1,5,25,Sunday
26-01-2015 00:00,2015,1,January,Q1,5,26,Monday
27-01-2015 00:00,2015,1,January,Q1,5,27,Tuesday
28-01-2015 00:00,2015,1,January,Q1,5,28,Wednesday
29-01-2015 00:00,2015,1,January,Q1,5,29,Thursday
30-01-2015 00:00,2015,1,January,Q1,5,30,Friday
31-01-2015 00:00,2015,1,January,Q1,5,31,Saturday
01-02-2015 00:00,2015,2,February,Q1,6,1,Sunday
02-02-2015 00:00,2015,2,February,Q1,6,2,Monday
03-02-2015 00:00,2015,2,February,Q1,6,3,Tuesday
04-02-2015 00:00,2015,2,February,Q1,6,4,Wednesday
05-02-2015 00:00,2015,2,February,Q1,6,5,Thursday
06-02-2015 00:00,2015,2,February,Q1,6,6,Friday
07-02-2015 00:00,2015,2,February,Q1,6,7,Saturday
08-02-2015 00:00,2015,2,February,Q1,7,8,Sunday
09-02-2015 00:00,2015,2,February,Q1,7,9,Monday
10-02-2015 00:00,2015,2,February,Q1,7,10,Tuesday
11-02-2015 00:00,2015,2,February,Q1,7,11,Wednesday
12-02-2015 00:00,2015,2,February,Q1,7,12,Thursday
13-02-2015 00:00,2015,2,February,Q1,7,13,Friday
14-02-2015 00:00,2015,2,February,Q1,7,14,Saturday
15-02-2015 00:00,2015,2,February,Q1,8,15,Sunday
16-02-2015 00:00,2015,2,February,Q1,8,16,Monday
17-02-2015 00:00,2015,2,February,Q1,8,17,Tuesday
18-02-2015 00:00,2015,2,February,Q1,8,18,Wednesday
19-02-2015 00:00,2015,2,February,Q1,8,19,Thursday
20-02-2015 00:00,2015,2,February,Q1,8,20,Friday
21-02-2015 00:00,2015,2,February,Q1,8,21,Saturday
22-02-2015 00:00,2015,2,February,Q1,9,22,Sunday
23-02-2015 00:00,2015,2,February,Q1,9,23,Monday
24-02-2015 00:00,2015,2,February,Q1,9,24,Tuesday
25-02-2015 00:00,2015,2,February,Q1,9,25,Wednesday
26-02-2015 00:00,2015,2,February,Q1,9,26,Thursday
27-02-2015 00:00,2015,2,February,Q1,9,27,Friday
28-02-2015 00:00,2015,2,February,Q1,9,28,Saturday
01-03-2015 00:00,2015,3,March,Q1,10,1,Sunday
02-03-2015 00:00,2015,3,March,Q1,10,2,Monday
03-03-2015 00:00,2015,3,March,Q1,10,3,Tuesday
04-03-2015 00:00,2015,3,March,Q1,10,4,Wednesday
05-03-2015 00:00,2015,3,March,Q1,10,5,Thursday
06-03-2015 00:00,2015,3,March,Q1,10,6,Friday
07-03-2015 00:00,2015,3,March,Q1,10,7,Saturday
08-03-2015 00:00,2015,3,March,Q1,11,8,Sunday
09-03-2015 00:00,2015,3,March,Q1,11,9,Monday
10-03-2015 00:00,2015,3,March,Q1,11,10,Tuesday
11-03-2015 00:00,2015,3,March,Q1,11,11,Wednesday
12-03-2015 00:00,2015,3,March,Q1,11,12,Thursday
13-03-2015 00:00,2015,3,March,Q1,11,13,Friday
14-03-2015 00:00,2015,3,March,Q1,11,14,Saturday
15-03-2015 00:00,2015,3,March,Q1,12,15,Sunday
16-03-2015 00:00,2015,3,March,Q1,12,16,Monday
17-03-2015 00:00,2015,3,March,Q1,12,17,Tuesday
18-03-2015 00:00,2015,3,March,Q1,12,18,Wednesday
19-03-2015 00:00,2015,3,March,Q1,12,19,Thursday
20-03-2015 00:00,2015,3,March,Q1,12,20,Friday
21-03-2015 00:00,2015,3,March,Q1,12,21,Saturday
22-03-2015 00:00,2015,3,March,Q1,13,22,Sunday
23-03-2015 00:00,2015,3,March,Q1,13,23,Monday
24-03-2015 00:00,2015,3,March,Q1,13,24,Tuesday
25-03-2015 00:00,2015,3,March,Q1,13,25,Wednesday
26-03-2015 00:00,2015,3,March,Q1,13,26,Thursday
27-03-2015 00:00,2015,3,March,Q1,13,27,Friday
28-03-2015 00:00,2015,3,March,Q1,13,28,Saturday
29-03-2015 00:00,2015,3,March,Q1,14,29,Sunday
30-03-2015 00:00,2015,3,March,Q1,14,30,Monday
31-03-2015 00:00,2015,3,March,Q1,14,31,Tuesday
01-04-2015 00:00,2015,4,April,Q2,14,1,Wednesday
02-04-2015 00:00,2015,4,April,Q2,14,2,Thursday
03-04-2015 00:00,2015,4,April,Q2,14,3,Friday
04-04-2015 00:00,2015,4,April,Q2,14,4,Saturday
05-04-2015 00:00,2015,4,April,Q2,15,5,Sunday
06-04-2015 00:00,2015,4,April,Q2,15,6,Monday
07-04-2015 00:00,2015,4,April,Q2,15,7,Tuesday
08-04-2015 00:00,2015,4,April,Q2,15,8,Wednesday
09-04-2015 00:00,2015,4,April,Q2,15,9,Thursday
10-04-2015 00:00,2015,4,April,Q2,15,10,Friday
11-04-2015 00:00,2015,4,April,Q2,15,11,Saturday
12-04-2015 00:00,2015,4,April,Q2,16,12,Sunday
13-04-2015 00:00,2015,4,April,Q2,16,13,Monday
14-04-2015 00:00,2015,4,April,Q2,16,14,Tuesday
15-04-2015 00:00,2015,4,April,Q2,16,15,Wednesday
16-04-2015 00:00,2015,4,April,Q2,16,16,Thursday
17-04-2015 00:00,2015,4,April,Q2,16,17,Friday
18-04-2015 00:00,2015,4,April,Q2,16,18,Saturday
19-04-2015 00:00,2015,4,April,Q2,17,19,Sunday
20-04-2015 00:00,2015,4,April,Q2,17,20,Monday
21-04-2015 00:00,2015,4,April,Q2,17,21,Tuesday
22-04-2015 00:00,2015,4,April,Q2,17,22,Wednesday
23-04-2015 00:00,2015,4,April,Q2,17,23,Thursday
24-04-2015 00:00,2015,4,April,Q2,17,24,Friday
25-04-2015 00:00,2015,4,April,Q2,17,25,Saturday
26-04-2015 00:00,2015,4,April,Q2,18,26,Sunday
27-04-2015 00:00,2015,4,April,Q2,18,27,Monday
28-04-2015 00:00,2015,4,April,Q2,18,28,Tuesday
29-04-2015 00:00,2015,4,April,Q2,18,29,Wednesday
30-04-2015 00:00,2015,4,April,Q2,18,30,Thursday
01-05-2015 00:00,2015,5,May,Q2,18,1,Friday
02-05-2015 00:00,2015,5,May,Q2,18,2,Saturday
03-05-2015 00:00,2015,5,May,Q2,19,3,Sunday
04-05-2015 00:00,2015,5,May,Q2,19,4,Monday
05-05-2015 00:00,2015,5,May,Q2,19,5,Tuesday
06-05-2015 00:00,2015,5,May,Q2,19,6,Wednesday
07-05-2015 00:00,2015,5,May,Q2,19,7,Thursday
08-05-2015 00:00,2015,5,May,Q2,19,8,Friday
09-05-2015 00:00,2015,5,May,Q2,19,9,Saturday
10-05-2015 00:00,2015,5,May,Q2,20,10,Sunday
11-05-2015 00:00,2015,5,May,Q2,20,11,Monday
12-05-2015 00:00,2015,5,May,Q2,20,12,Tuesday
13-05-2015 00:00,2015,5,May,Q2,20,13,Wednesday
14-05-2015 00:00,2015,5,May,Q2,20,14,Thursday
15-05-2015 00:00,2015,5,May,Q2,20,15,Friday
16-05-2015 00:00,2015,5,May,Q2,20,16,Saturday
17-05-2015 00:00,2015,5,May,Q2,21,17,Sunday
18-05-2015 00:00,2015,5,May,Q2,21,18,Monday
19-05-2015 00:00,2015,5,May,Q2,21,19,Tuesday
20-05-2015 00:00,2015,5,May,Q2,21,20,Wednesday
21-05-2015 00:00,2015,5,May,Q2,21,21,Thursday
22-05-2015 00:00,2015,5,May,Q2,21,22,Friday
23-05-2015 00:00,2015,5,May,Q2,21,23,Saturday
24-05-2015 00:00,2015,5,May,Q2,22,24,Sunday
25-05-2015 00:00,2015,5,May,Q2,22,25,Monday
26-05-2015 00:00,2015,5,May,Q2,22,26,Tuesday
27-05-2015 00:00,2015,5,May,Q2,22,27,Wednesday
28-05-2015 00:00,2015,5,May,Q2,22,28,Thursday
29-05-2015 00:00,2015,5,May,Q2,22,29,Friday
30-05-2015 00:00,2015,5,May,Q2,22,30,Saturday
31-05-2015 00:00,2015,5,May,Q2,23,31,Sunday
01-06-2015 00:00,2015,6,June,Q2,23,1,Monday
02-06-2015 00:00,2015,6,June,Q2,23,2,Tuesday
03-06-2015 00:00,2015,6,June,Q2,23,3,Wednesday
04-06-2015 00:00,2015,6,June,Q2,23,4,Thursday
05-06-2015 00:00,2015,6,June,Q2,23,5,Friday
06-06-2015 00:00,2015,6,June,Q2,23,6,Saturday
07-06-2015 00:00,2015,6,June,Q2,24,7,Sunday
08-06-2015 00:00,2015,6,June,Q2,24,8,Monday
09-06-2015 00:00,2015,6,June,Q2,24,9,Tuesday
10-06-2015 00:00,2015,6,June,Q2,24,10,Wednesday
11-06-2015 00:00,2015,6,June,Q2,24,11,Thursday
12-06-2015 00:00,2015,6,June,Q2,24,12,Friday
13-06-2015 00:00,2015,6,June,Q2,24,13,Saturday
14-06-2015 00:00,2015,6,June,Q2,25,14,Sunday
15-06-2015 00:00,2015,6,June,Q2,25,15,Monday
16-06-2015 00:00,2015,6,June,Q2,25,16,Tuesday
17-06-2015 00:00,2015,6,June,Q2,25,17,Wednesday
18-06-2015 00:00,2015,6,June,Q2,25,18,Thursday
19-06-2015 00:00,2015,6,June,Q2,25,19,Friday
20-06-2015 00:00,2015,6,June,Q2,25,20,Saturday
21-06-2015 00:00,2015,6,June,Q2,26,21,Sunday
22-06-2015 00:00,2015,6,June,Q2,26,22,Monday
23-06-2015 00:00,2015,6,June,Q2,26,23,Tuesday
24-06-2015 00:00,2015,6,June,Q2,26,24,Wednesday
25-06-2015 00:00,2015,6,June,Q2,26,25,Thursday
26-06-2015 00:00,2015,6,June,Q2,26,26,Friday
27-06-2015 00:00,2015,6,June,Q2,26,27,Saturday
28-06-2015 00:00,2015,6,June,Q2,27,28,Sunday
29-06-2015 00:00,2015,6,June,Q2,27,29,Monday
30-06-2015 00:00,2015,6,June,Q2,27,30,Tuesday
01-07-2015 00:00,2015,7,July,Q3,27,1,Wednesday
02-07-2015 00:00,2015,7,July,Q3,27,2,Thursday
03-07-2015 00:00,2015,7,July,Q3,27,3,Friday
04-07-2015 00:00,2015,7,July,Q3,27,4,Saturday
05-07-2015 00:00,2015,7,July,Q3,28,5,Sunday
06-07-2015 00:00,2015,7,July,Q3,28,6,Monday
07-07-2015 00:00,2015,7,July,Q3,28,7,Tuesday
08-07-2015 00:00,2015,7,July,Q3,28,8,Wednesday
09-07-2015 00:00,2015,7,July,Q3,28,9,Thursday
10-07-2015 00:00,2015,7,July,Q3,28,10,Friday
11-07-2015 00:00,2015,7,July,Q3,28,11,Saturday
12-07-2015 00:00,2015,7,July,Q3,29,12,Sunday
13-07-2015 00:00,2015,7,July,Q3,29,13,Monday
14-07-2015 00:00,2015,7,July,Q3,29,14,Tuesday
15-07-2015 00:00,2015,7,July,Q3,29,15,Wednesday
16-07-2015 00:00,2015,7,July,Q3,29,16,Thursday
17-07-2015 00:00,2015,7,July,Q3,29,17,Friday
18-07-2015 00:00,2015,7,July,Q3,29,18,Saturday
19-07-2015 00:00,2015,7,July,Q3,30,19,Sunday
20-07-2015 00:00,2015,7,July,Q3,30,20,Monday
21-07-2015 00:00,2015,7,July,Q3,30,21,Tuesday
22-07-2015 00:00,2015,7,July,Q3,30,22,Wednesday
23-07-2015 00:00,2015,7,July,Q3,30,23,Thursday
24-07-2015 00:00,2015,7,July,Q3,30,24,Friday
25-07-2015 00:00,2015,7,July,Q3,30,25,Saturday
26-07-2015 00:00,2015,7,July,Q3,31,26,Sunday
27-07-2015 00:00,2015,7,July,Q3,31,27,Monday
28-07-2015 00:00,2015,7,July,Q3,31,28,Tuesday
29-07-2015 00:00,2015,7,July,Q3,31,29,Wednesday
30-07-2015 00:00,2015,7,July,Q3,31,30,Thursday
31-07-2015 00:00,2015,7,July,Q3,31,31,Friday
01-08-2015 00:00,2015,8,August,Q3,31,1,Saturday
02-08-2015 00:00,2015,8,August,Q3,32,2,Sunday
03-08-2015 00:00,2015,8,August,Q3,32,3,Monday
04-08-2015 00:00,2015,8,August,Q3,32,4,Tuesday
05-08-2015 00:00,2015,8,August,Q3,32,5,Wednesday
06-08-2015 00:00,2015,8,August,Q3,32,6,Thursday
07-08-2015 00:00,2015,8,August,Q3,32,7,Friday
08-08-2015 00:00,2015,8,August,Q3,32,8,Saturday
09-08-2015 00:00,2015,8,August,Q3,33,9,Sunday
10-08-2015 00:00,2015,8,August,Q3,33,10,Monday
11-08-2015 00:00,2015,8,August,Q3,33,11,Tuesday
12-08-2015 00:00,2015,8,August,Q3,33,12,Wednesday
13-08-2015 00:00,2015,8,August,Q3,33,13,Thursday
14-08-2015 00:00,2015,8,August,Q3,33,14,Friday
15-08-2015 00:00,2015,8,August,Q3,33,15,Saturday
16-08-2015 00:00,2015,8,August,Q3,34,16,Sunday
17-08-2015 00:00,2015,8,August,Q3,34,17,Monday
18-08-2015 00:00,2015,8,August,Q3,34,18,Tuesday
19-08-2015 00:00,2015,8,August,Q3,34,19,Wednesday
20-08-2015 00:00,2015,8,August,Q3,34,20,Thursday
21-08-2015 00:00,2015,8,August,Q3,34,21,Friday
22-08-2015 00:00,2015,8,August,Q3,34,22,Saturday
23-08-2015 00:00,2015,8,August,Q3,35,23,Sunday
24-08-2015 00:00,2015,8,August,Q3,35,24,Monday
25-08-2015 00:00,2015,8,August,Q3,35,25,Tuesday
26-08-2015 00:00,2015,8,August,Q3,35,26,Wednesday
27-08-2015 00:00,2015,8,August,Q3,35,27,Thursday
28-08-2015 00:00,2015,8,August,Q3,35,28,Friday
29-08-2015 00:00,2015,8,August,Q3,35,29,Saturday
30-08-2015 00:00,2015,8,August,Q3,36,30,Sunday
31-08-2015 00:00,2015,8,August,Q3,36,31,Monday
01-09-2015 00:00,2015,9,September,Q3,36,1,Tuesday
02-09-2015 00:00,2015,9,September,Q3,36,2,Wednesday
03-09-2015 00:00,2015,9,September,Q3,36,3,Thursday
04-09-2015 00:00,2015,9,September,Q3,36,4,Friday
05-09-2015 00:00,2015,9,September,Q3,36,5,Saturday
06-09-2015 00:00,2015,9,September,Q3,37,6,Sunday
07-09-2015 00:00,2015,9,September,Q3,37,7,Monday
08-09-2015 00:00,2015,9,September,Q3,37,8,Tuesday
09-09-2015 00:00,2015,9,September,Q3,37,9,Wednesday
10-09-2015 00:00,2015,9,September,Q3,37,10,Thursday
11-09-2015 00:00,2015,9,September,Q3,37,11,Friday
12-09-2015 00:00,2015,9,September,Q3,37,12,Saturday
13-09-2015 00:00,2015,9,September,Q3,38,13,Sunday
14-09-2015 00:00,2015,9,September,Q3,38,14,Monday
15-09-2015 00:00,2015,9,September,Q3,38,15,Tuesday
16-09-2015 00:00,2015,9,September,Q3,38,16,Wednesday
17-09-2015 00:00,2015,9,September,Q3,38,17,Thursday
18-09-2015 00:00,2015,9,September,Q3,38,18,Friday
19-09-2015 00:00,2015,9,September,Q3,38,19,Saturday
20-09-2015 00:00,2015,9,September,Q3,39,20,Sunday
21-09-2015 00:00,2015,9,September,Q3,39,21,Monday
22-09-2015 00:00,2015,9,September,Q3,39,22,Tuesday
23-09-2015 00:00,2015,9,September,Q3,39,23,Wednesday
24-09-2015 00:00,2015,9,September,Q3,39,24,Thursday
25-09-2015 00:00,2015,9,September,Q3,39,25,Friday
26-09-2015 00:00,2015,9,September,Q3,39,26,Saturday
27-09-2015 00:00,2015,9,September,Q3,40,27,Sunday
28-09-2015 00:00,2015,9,September,Q3,40,28,Monday
29-09-2015 00:00,2015,9,September,Q3,40,29,Tuesday
30-09-2015 00:00,2015,9,September,Q3,40,30,Wednesday
01-10-2015 00:00,2015,10,October,Q4,40,1,Thursday
02-10-2015 00:00,2015,10,October,Q4,40,2,Friday
03-10-2015 00:00,2015,10,October,Q4,40,3,Saturday
04-10-2015 00:00,2015,10,October,Q4,41,4,Sunday
05-10-2015 00:00,2015,10,October,Q4,41,5,Monday
06-10-2015 00:00,2015,10,October,Q4,41,6,Tuesday
07-10-2015 00:00,2015,10,October,Q4,41,7,Wednesday
08-10-2015 00:00,2015,10,October,Q4,41,8,Thursday
09-10-2015 00:00,2015,10,October,Q4,41,9,Friday
10-10-2015 00:00,2015,10,October,Q4,41,10,Saturday
11-10-2015 00:00,2015,10,October,Q4,42,11,Sunday
12-10-2015 00:00,2015,10,October,Q4,42,12,Monday
13-10-2015 00:00,2015,10,October,Q4,42,13,Tuesday
14-10-2015 00:00,2015,10,October,Q4,42,14,Wednesday
15-10-2015 00:00,2015,10,October,Q4,42,15,Thursday
16-10-2015 00:00,2015,10,October,Q4,42,16,Friday
17-10-2015 00:00,2015,10,October,Q4,42,17,Saturday
18-10-2015 00:00,2015,10,October,Q4,43,18,Sunday
19-10-2015 00:00,2015,10,October,Q4,43,19,Monday
20-10-2015 00:00,2015,10,October,Q4,43,20,Tuesday
21-10-2015 00:00,2015,10,October,Q4,43,21,Wednesday
22-10-2015 00:00,2015,10,October,Q4,43,22,Thursday
23-10-2015 00:00,2015,10,October,Q4,43,23,Friday
24-10-2015 00:00,2015,10,October,Q4,43,24,Saturday
25-10-2015 00:00,2015,10,October,Q4,44,25,Sunday
26-10-2015 00:00,2015,10,October,Q4,44,26,Monday
27-10-2015 00:00,2015,10,October,Q4,44,27,Tuesday
28-10-2015 00:00,2015,10,October,Q4,44,28,Wednesday
29-10-2015 00:00,2015,10,October,Q4,44,29,Thursday
30-10-2015 00:00,2015,10,October,Q4,44,30,Friday
31-10-2015 00:00,2015,10,October,Q4,44,31,Saturday
01-11-2015 00:00,2015,11,November,Q4,45,1,Sunday
02-11-2015 00:00,2015,11,November,Q4,45,2,Monday
03-11-2015 00:00,2015,11,November,Q4,45,3,Tuesday
04-11-2015 00:00,2015,11,November,Q4,45,4,Wednesday
05-11-2015 00:00,2015,11,November,Q4,45,5,Thursday
06-11-2015 00:00,2015,11,November,Q4,45,6,Friday
07-11-2015 00:00,2015,11,November,Q4,45,7,Saturday
08-11-2015 00:00,2015,11,November,Q4,46,8,Sunday
09-11-2015 00:00,2015,11,November,Q4,46,9,Monday
10-11-2015 00:00,2015,11,November,Q4,46,10,Tuesday
11-11-2015 00:00,2015,11,November,Q4,46,11,Wednesday
12-11-2015 00:00,2015,11,November,Q4,46,12,Thursday
13-11-2015 00:00,2015,11,November,Q4,46,13,Friday
14-11-2015 00:00,2015,11,November,Q4,46,14,Saturday
15-11-2015 00:00,2015,11,November,Q4,47,15,Sunday
16-11-2015 00:00,2015,11,November,Q4,47,16,Monday
17-11-2015 00:00,2015,11,November,Q4,47,17,Tuesday
18-11-2015 00:00,2015,11,November,Q4,47,18,Wednesday
19-11-2015 00:00,2015,11,November,Q4,47,19,Thursday
20-11-2015 00:00,2015,11,November,Q4,47,20,Friday
21-11-2015 00:00,2015,11,November,Q4,47,21,Saturday
22-11-2015 00:00,2015,11,November,Q4,48,22,Sunday
23-11-2015 00:00,2015,11,November,Q4,48,23,Monday
